product_id,product_name,product_manfacture,product_price,product_image_url,product_available
484622,Amrutanjan Comfy Ultra Xl  Sanitary Pads  Packet Of 6,Amrutanjan,33.15,https://cdn01.pharmeasy.in/dam/products_otc/U60635/amrutanjan-comfy-ultra-xl-6-pads-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
28424,Sebamed Soap Wrap Of 100 G,SEBAMED,169.15,https://cdn01.pharmeasy.in/dam/products_otc/196227/sebamed-soap-wrap-of-100-g-1-1595495248.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
23109,Revital H Woman Health Supplement Tablets Strip Of 10,REVITAL,102.00,https://cdn01.pharmeasy.in/dam/products_otc/311270/revital-h-woman-health-supplement-tablets-strip-of-10-1-1598247126.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
209458,Stayfree Advanced Ultra-comfort  Sanitary Napkin With Wings  Packet Of 14 (extra Large),Stayfree,166.25,https://cdn01.pharmeasy.in/dam/products_otc/I35201/stayfree-advanced-ultra-comfort-sanitary-napkin-with-wings-packet-of-14-extra-large-2-1604923602.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
237112,Dettol Original Soap (buy 4 Get 1 Free) Wrap Of 5 - 125g Each,DETTOL,190.00,https://cdn01.pharmeasy.in/dam/products_otc/G29989/dettol-soap-original-125gm-buy-4-get-1-free-1-1593804987.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
218459,Colgate Plax Fresh Tea Alcohol-free Mouthwash Bottle Of 250 Ml,COLGATE,106.60,https://cdn01.pharmeasy.in/dam/products_otc/I44202/colgate-plax-fresh-tea-alcohol-free-mouthwash-250-ml-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
171172,Whisper Ultra Overnight Size Xl Plus Sanitary Pads Packet Of 7,WHISPER,82.72,https://cdn01.pharmeasy.in/dam/products_otc/I05121/whisper-ultra-overnight-sanitary-pads-xl-plus-7-pc-pack-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
194449,Nycil Cool Classic Prickly Heat Talcum Powder - 150gm,Nycil,105.60,https://d1ljlatelrv1en.cloudfront.net/Nycil/resized/small/i15192-front.jpeg,True
175498,Dove Pink Rose (pack Of 3) Soap Wrap Of 100 G,Dove,152.00,https://cdn01.pharmeasy.in/dam/products_otc/I07687/dove-pink-rosa-beauty-bathing-bar-3x100-g-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
222782,Wellman  Health Supplement Tablets  Box Of 30,WELLMAN,372.30,https://cdn01.pharmeasy.in/dam/products_otc/I48528/wellman-box-of-30-tablets-green-1.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
32326,Gillette Vector Plus Manual Shaving  Razor Blades  Packet Of 6 (cartridge),Gillette,158.40,https://cdn01.pharmeasy.in/dam/products_otc/083781/gillette-vector-plus-manual-shaving-razor-blades-cartridge-6s-pack-1-1593546052.jpg?dim=300x0&f=jpg&dpr=1&q=60,True
