title,description,price,images_url,location
KOMPALLY (BOLLARAM)  APARTMENTS 2999 PER SFT,KOMPALLY (BOLLARAM) APARTMENTS2999 RS PER SFT1.5 KM FROM NATIONAL HIGHWAYFULLY GATED COMMUNITY  GHMC RERA APPROVED4 ACRES FULLY GATED COMMUNITYG+5 FLOORS  1.5 YEAR HANDOVERPAYMENT OPTIONS:-1.OUTRATE  2999 PER SFT INCLUDING EMINITIES & CAR PARKING2.LOAN 3499 PER SFTINCLUDING EMINITIES & CAR PARKING,"₹ 32,00,000",https://apollo-singapore.akamaized.net:443/v1/files/p18zr33ivwx63-IN/image,"India, Telangana, Hyderabad, JNTU"
Premium 2bhk flats@Moti Nagar,Premium 2bhk flats in 25 acres gated community in the centre of city with all world class amenities and full of greenery built in the community.,"₹ 91,00,000",https://apollo-singapore.akamaized.net:443/v1/files/m25pclta356a-IN/image,"India, Telangana, Hyderabad, Moti Nagar"
Single bedroom hall kitchen,1 BHK 24 hours water supply,"₹ 5,500",https://apollo-singapore.akamaized.net:443/v1/files/06xik0c05nvs-IN/image,"India, Telangana, Hyderabad, Sai Nagar Colony"
Per sft.5100/-at  nanakramguda circle most luxury appartments road fc,"World class imminities  club houseMini theatre ,duplex appartments ,and prime location near to 2kms of GACHIBOWLI  OPP to Delhi public school this offer only few days","₹ 51,00,000",https://apollo-singapore.akamaized.net:443/v1/files/uihq61ovrrzc-IN/image,"India, Telangana, Hyderabad, Film Nagar"
Nearby Heritage Mart Best Facilities of 2Bhk Flat Developed Area Uppal,"Details Of Flat 900 sft 1st floor, East face10 years building with All Amenities LIKE :  Marble Flooring             Lift, generator Full Security 24 Hours Municipal & Bore water avail Apartment Location Uppal Balaji hills Near Main bus stop Asian Multiplex 2 km From Warangal highway Clear title Property Immediately registration 100% Vasth Near Developments and Facilities * Uppal Main Bus stop * South india Shopping mall * Uppal metro station * Venkateswara temple 10 mins drive from Uppal ring road Inter national schools, Colleges Multi hospitals, Banks, atm's All facilities avail Cost of Property RS/- 39,00,000","₹ 39,00,000",https://apollo-singapore.akamaized.net:443/v1/files/wtocc7k8c2ee3-IN/image,"India, Telangana, Hyderabad, Uppal"
"NANAKRAM GUDA CERCLE JUST 30 MTRS ,ROAD FACING PROJECT.WORLD CLASS PRO",DELHI PUBLIC SCHOOL OPPOSITE HMDA PROJECT.WORLD CLASS AMENITIES.,"₹ 22,00,000",https://apollo-singapore.akamaized.net:443/v1/files/7ladsjumise6-IN/image,"India, Telangana, Hyderabad, Nanakramguda"
1bhk- flat tolet,"Elevator, security, cctv, 24 hrs water","₹ 9,500",https://apollo-singapore.akamaized.net:443/v1/files/c8r7isefqiue1-IN/image,"India, Telangana, Hyderabad, Madhapur"
2bhk 900sqft 1st floorSuncity bandlaguda jagir near maple town villas,2bhk 900sqft first floor suncity bandlag uda jagir,"₹ 7,000",https://apollo-singapore.akamaized.net:443/v1/files/r779euuthfbu2-IN/image,"India, Telangana, Hyderabad, Janibegun"
"Kondapur,2&3bhk ready to move &under construction flats for sale","A 2bhk property is available for sale in kondapur, Hyderabad. It has a salable area of 1199,&1139,sqft and is available at a price of Rs. 5300/sft. It is located on the 1,2,3rd&4th floor(out of a total of 5 floor(s)). the amenities are intercom facility,cc cams,car parking ,power backup , seciruty, manjeera and boars.The property provides an excellent view as it overlooks the road. The property is available on freehold. The property has 2bathrooms and 2 balcony. This residential property is . It is made in way to provide a comfortable living for the residents.","₹ 62,00,000",https://apollo-singapore.akamaized.net:443/v1/files/9pvyoss1ul331-IN/image,"India, Telangana, Hyderabad, Kondapur"
Very good location nary  by park,Very good  location,"₹ 1,26,00,000",https://apollo-singapore.akamaized.net:443/v1/files/kcylsumhe3no2-IN/image,"India, Telangana, Hyderabad, Ameerpet"
